freq	morph	lang	stem	morph_type	person	gender	number	state	pos	lexical_class	distinct_variants
3	VPp1cp	H	pual	qatal	first	common	plural		verb	verb	1
3	Vqi1cs	A	peal	yiqtol	first	common	singular		verb	verb	1
3	Aampd	A		adjective		masculine	plural	determined	adjective	adj	1
3	Pdxbp	A		demonstrative		both	plural		pronoun	adj	1
3	Vhi3fs	A	haphel	yiqtol	third	feminine	singular		verb	verb	1
3	VMi3fs	A	hithpaal	yiqtol	third	feminine	singular		verb	verb	1
3	Vpp2ms	A	pael	qatal	second	masculine	singular		verb	verb	1
3	Vei3ms	A	shaphel	yiqtol	third	masculine	singular		verb	verb	1
3	Varfsa	A	aphel	participle active		feminine	singular	absolute	verb	verb	1
3	Vqrmpd	A	peal	participle active		masculine	plural	determined	verb	verb	1
3	Vpv2mp	A	pael	imperative	second	masculine	plural		verb	verb	1
3	Vpp1cs	A	pael	qatal	first	common	singular		verb	verb	1
3	VMi3mp	A	hithpaal	yiqtol	third	masculine	plural		verb	verb	1
3	Acbpa	A		cardinal number		both	plural	absolute	adjective	num	1
3	Acmpa	A		cardinal number		masculine	plural	absolute	adjective	num	1
3	Aofsd	A		ordinal number		feminine	singular	determined	adjective	num	1
2	VNw3fp	H	niphal	wayyiqtol	third	feminine	plural		verb	verb	1
2	Vhv2fp	H	hiphil	imperative	second	feminine	plural		verb	verb	1
2	Vfw3ms	H	hithpalpel	wayyiqtol	third	masculine	singular		verb	verb	1
2	Vvi1cp	H		yiqtol	first	common	plural		verb	verb	1
2	Vvj3mp	H		jussive	third	masculine	plural		verb	verb	1
2	Vvw3fp	H		wayyiqtol	third	feminine	plural		verb	verb	1
2	Vti1cp	H	hithpael	yiqtol	first	common	plural		verb	verb	1
2	Vli1cs	H	pilpel	yiqtol	first	common	singular		verb	verb	1
2	Vhq2fp	H	hiphil	weqatal	second	feminine	plural		verb	verb	1
2	Vpw2fp	H	piel	wayyiqtol	second	feminine	plural		verb	verb	1
2	Vfc	H	hithpalpel	infinitive construct					verb	verb	1
2	VPsfpc	H	pual	participle passive		feminine	plural	construct	verb	verb	1
2	VHsfpc	H	hophal	participle passive		feminine	plural	construct	verb	verb	1
2	Vuc	H		infinitive construct					verb	verb	1
2	Vrrmpa	H	hithpolel	participle active		masculine	plural	absolute	verb	verb	1
2	Vup3fs	H		qatal	third	feminine	singular		verb	verb	1
2	Vormsc	H	polel	participle active		masculine	singular	construct	verb	verb	1
2	VPsfsc	H	pual	participle passive		feminine	singular	construct	verb	verb	1
2	Vmw3mp	H	poel	wayyiqtol	third	masculine	plural		verb	verb	1
2	Vpi2fp	H	piel	yiqtol	second	feminine	plural		verb	verb	1
2	Vqj2fp	H	qal	jussive	second	feminine	plural		verb	verb	1
2	VNj2fs	H	niphal	jussive	second	feminine	singular		verb	verb	1
